0
LICENSED HOUSE IN MULTIPLE OCCUPATION - UP TO 2 STOREYS
LIGHT AIRCRAFT
LOCAL GOVERNMENT OFFICE
LOOSE REFUSE
LORRY/HGV
MANUFACTURING ASSEMBLY PLANT
MEDICAL/HEALTH CENTRE
MILITARY HELICOPTER
MILITARY PLANE
MILITARY/BARRACKS
MILKING PARLOUR
MILL
MINE OR QUARRY (NOT ABOVE GROUND BUILDING)
MINE OR QUARRY BUILDING ABOVE GROUND
MINIBUS
MINISTRY OF DEFENCE OFFICE
MONASTERY/CONVENT
MOSQUE
MOTOR HOME
MOTOR RACING CIRCUIT
MOTOR YACHT
MOTORCYCLE
MULTI-STOREY CAR PARK
MULTIPLE VEHICLES
MUSEUM
NAVAL VESSEL
NURSERIES/ MARKET GARDEN
NURSES'/DOCTORS' ACCOMMODATION
NURSING/CARE HOME/HOSPICE
OIL REFINERY
OTHER AGRICULTURAL BUILDING
OTHER AIRCRAFT
OTHER ANIMAL BOARDING/BREEDING ESTABLISHMENT
OTHER BUILDING/USE NOT KNOWN
OTHER BULK STORAGE
OTHER CAR PARK STRUCTURE
OTHER CULTURAL VENUE
OTHER DWELLING
OTHER EDUCATION ESTABLISHMENT
OTHER ENTERTAINMENT VENUE
OTHER HOLIDAY RESIDENCE (COTTAGE/ FLAT/ CHALET)
OTHER INDOOR SPORTING VENUE
OTHER INDUSTRIAL MANUFACTURING FACILITY
OTHER INDUSTRIAL PROCESSING PLANT
OTHER MEDICAL ESTABLISHMENT (INCLUDING SURGERY)
OTHER MERCHANT VESSEL
OTHER OFFICE/CALL CENTRE TYPE BUILDING
OTHER OUTDOOR EQUIPMENT/MACHINERY
OTHER OUTDOOR LOCATION
OTHER OUTDOOR SPORTING VENUE
OTHER OUTDOOR STRUCTURES
OTHER PRIVATE NON-RESIDENTIAL BUILDING
OTHER PUBLIC BUILDING
OTHER PUBLIC UTILITY WORKS
OTHER RELIGIOUS USE BUILDING
OTHER RESIDENTIAL HOME
OTHER RETAIL
OTHER RETAIL WAREHOUSE
OTHER ROAD VEHICLE
OTHER TENT/MARQUEE
OTHER TRANSPORT BUILDING
OTHER VESSEL
OUTDOOR STORAGE
PARK
PASSENGER PLANE
PASSENGER TRAIN (NATIONAL RAIL NETWORK)
PETROL STATION
PIPE OR DRAIN
PLAYGROUND/RECREATION AREA (NOT EQUIPMENT)
POLICE STATION
POST BOX
POST OFFICE (PURPOSE BUILT)
POST OFFICE (WITHIN OTHER SHOP/PREMISES)
PRE SCHOOL/NURSERY
PRINTING WORKS
PRISON
PRIVATE GARAGE
PRIVATE GARDEN SHED
PRIVATE GREENHOUSE
PRIVATE SUMMER HOUSE
PUB/WINE BAR/BAR
PUBLIC TOILETS
PURPOSE BUILT FLATS/MAISONETTES - 10 OR MORE STOREYS
PURPOSE BUILT FLATS/MAISONETTES - 4 TO 9 STOREYS
PURPOSE BUILT FLATS/MAISONETTES - UP TO 3 STOREYS
PURPOSE BUILT OFFICE
RACECOURSE
RAILINGS
RAILWAY
RAILWAY BUILDING - OTHER
RAILWAY GOODS YARD
RAILWAY TRACKSIDE VEGETATION
RECYCLING COLLECTION POINT/ BOTTLE BANK
RECYCLING PLANT
REFUSE/RUBBISH TIP
RESTAURANT/CAFE
RETIREMENT/OLD PERSONS HOME
RIVER/CANAL
ROAD SURFACE/PAVEMENT
ROAD TANKER
ROADSIDE FURNITURE (EG LAMP POSTS/ ROAD SIGNS/ TELEGRAPH POLES/ SPEED CAMERAS)
ROADSIDE VEGETATION
ROYAL PALACE (PART NOT OPEN TO PUBLIC)
RUGBY STADIUM
SCRUB LAND
SEA
SECONDARY SCHOOL
SELF CONTAINED SHELTERED HOUSING
SEWAGE WORKS
SHELTER
SHELTERED HOUSING : NOT SELF CONTAINED
SHOPPING CENTRE
SILO
SINGLE SHOP
SMALL REFUSE/RUBBISH CONTAINER
SPORTS HALL
SPORTS PAVILION/SHOWER BLOCK/CHANGING FACILITY
SPORTS/SOCIAL CLUB
STACKED/BALED CROP
STANDING CROP
STATELY HOME (PART NOT OPEN TO PUBLIC)
STRAW/STUBBLE BURNING
STUDENT HALL OF RESIDENCE
SWIMMING POOL
SYNAGOGUE
TAKEAWAY/ FAST FOOD
TELEPHONE BOX
TELEPHONE EXCHANGE
TEMPLE
TEMPORARY OFFICE (EG PORTACABIN)
TENEMENT BUILDING
TENNIS COURTS
THEATRE
THEME PARK
TOWING CARAVAN (NOT ON TOW OR ON SITE)
TOWING CARAVAN/CAMPER VAN ON SITE
TOWN HALL
TRACTOR SHED
TRAILER (NOT ATTACHED TO TRACTOR UNIT)
TRAIN ON TUBE NETWORK
TRAIN STATION - CONCOURSE
TRAIN STATION - ELSEWHERE
TRAIN STATION - PLATFORM (AT GROUND LEVEL OR ELEVATED)
TRAIN STATION - PLATFORM (BELOW GROUND)
TRAINS - ENGINE SHED
TRAM
TRAVEL AGENT
TREE SCRUB
TUNNEL/ SUBWAY
TV/FILM/MUSIC/ART STUDIO
UNDERGROUND CAR PARK
UNDERGROUND TRAIN : OTHER SYSTEM
UNLICENSED HOUSE IN MULTIPLE OCCUPATION - 3 OR MORE STOREYS
UNLICENSED HOUSE IN MULTIPLE OCCUPATION - UP TO 2 STOREYS
VAN
VEHICLE REPAIR WORKSHOP
VEHICLE SALES BUILDING
VETERINARY SURGERY
WAREHOUSE
WASTELAND
WATER WORKS
WHEELIE BIN (DOMESTIC SIZE)
WOODLAND/FOREST - BROADLEAF/HARDWOOD
WOODLAND/FOREST - CONIFERS/SOFTWOOD
YOUNG OFFENDERS UNIT
YOUTH HOSTEL
ZOO
