Keep;Column;Value
False;PropertyType;CALL CENTRE
True;PropertyType;CAMPING TENT
False;PropertyType;CANAL/RIVERBANK VEGETATION
True;PropertyType;CARAVAN ON TOW
False;PropertyType;CARAVAN/MOBILE HOME (PERMANENT DWELLING)
True;PropertyType;CAR
False;PropertyType;CASINO
False;PropertyType;CASTLE (PART NOT OPEN TO PUBLIC)
False;PropertyType;CATHEDRAL
True;PropertyType;CEMETERY
False;PropertyType;CENTRAL GOVERNMENT OFFICE
False;PropertyType;CHEMICAL PLANT
False;PropertyType;CHILDREN'S HOME
False;PropertyType;CHURCH/CHAPEL
False;PropertyType;CINEMA
False;PropertyType;CLUB/NIGHT CLUB
False;PropertyType;COLLEGE/UNIVERSITY
True;PropertyType;COMMON EXTERNAL BIN STORAGE AREA
False;PropertyType;COMMUNITY CENTRE/HALL
False;PropertyType;CONCERT HALL
False;PropertyType;CONFERENCE CENTRE
True;PropertyType;CONVERTED FLAT/MAISONETTE - UP TO 2 STOREYS
False;PropertyType;CONVERTED FLAT/MAISONETTES - 3 OR MORE STOREYS
False;PropertyType;CONVERTED OFFICE
False;PropertyType;CRICKET GROUND
False;PropertyType;CYCLE PATH/PUBLIC FOOTPATH/BRIDLEWAY
False;PropertyType;DAY CARE/DROP IN CENTRE
False;PropertyType;DENTAL SURGERY
False;PropertyType;DEPARTMENT STORE
False;PropertyType;DISTILLERY PLANT
False;PropertyType;DIY WAREHOUSE
True;PropertyType;DOCKS
False;PropertyType;DOCTORS SURGERY
False;PropertyType;DOMESTIC GARDEN (VEGETATION NOT EQUIPMENT)
False;PropertyType;ELECTRICAL WAREHOUSE
True;PropertyType;ELECTRICITY POWER STATION
False;PropertyType;ENGINEERING MANUFACTURING PLANT
False;PropertyType;ESTATE AGENT
False;PropertyType;EXHIBITION CENTRE
False;PropertyType;FACTORY
False;PropertyType;FALSE ALARM - PROPERTY NOT FOUND
False;PropertyType;FENCE
False;PropertyType;FERRY TERMINAL
False;PropertyType;FIRE STATION
True;PropertyType;FISHING BOAT
False;PropertyType;FOOD AND DRINK PROCESSING
False;PropertyType;FOOTBALL STADIUM
False;PropertyType;FREIGHT PLANE
False;PropertyType;FREIGHT TRAIN
False;PropertyType;FURNITURE WAREHOUSE
True;PropertyType;GARDEN EQUIPMENT
True;PropertyType;GAS WORKS
False;PropertyType;GOLF CLUBHOUSE
False;PropertyType;GOLF COURSE (NOT BUILDING ON COURSE)
False;PropertyType;GRASSLAND/ PASTURE/ GRAZING ETC
False;PropertyType;GREENHOUSE (COMMERCIAL) GLASS
False;PropertyType;GREENHOUSE (COMMERCIAL) POLYTUNNEL
False;PropertyType;GREYHOUND STADIUM
False;PropertyType;GYM
False;PropertyType;HAIRDRESSER
False;PropertyType;HEALTH CENTRE
False;PropertyType;HEALTH SPA/FARM
False;PropertyType;HEATHLAND
False;PropertyType;HEDGE
False;PropertyType;HELICOPTER
False;PropertyType;HOSPITAL
False;PropertyType;HOSTEL (E.G. FOR HOMELESS PEOPLE)
False;PropertyType;HOTEL/MOTEL
False;PropertyType;HOUSE - SINGLE OCCUPANCY
False;PropertyType;HOUSE IN MULTIPLE OCCUPATION - 3 OR MORE STOREYS (NOT KNOWN IF LICENSED)
False;PropertyType;HOUSE IN MULTIPLE OCCUPATION - UP TO 2 STOREYS (NOT KNOWN IF LICENSED)
True;PropertyType;HOUSEBOAT (PERMANENT DWELLING)
False;PropertyType;HUMAN HARM OUTDOORS
False;PropertyType;ICE RINK
False;PropertyType;INDOOR MARKET
False;PropertyType;INDOOR STADIUM
False;PropertyType;INFANT/PRIMARY SCHOOL
False;PropertyType;INTENSIVE FARMING SHEDS (CHICKENS/ PIGS ETC)
True;PropertyType;KIOSK
False;PropertyType;LABORATORY/RESEARCH ESTABLISHMENT
False;PropertyType;LAKE/POND/RESERVOIR
True;PropertyType;LANDFILL SITE
True;PropertyType;LARGE PASSENGER VESSEL
False;PropertyType;LARGE REFUSE/RUBBISH CONTAINER (EG SKIP/ PALADIN)
False;PropertyType;LARGE SUPERMARKET
True;PropertyType;LAUNDRETTE
False;PropertyType;LAW COURTS
False;PropertyType;LEISURE CENTRE
False;PropertyType;LIBRARY
False;PropertyType;LICENSED HOUSE IN MULTIPLE OCCUPATION - 3 OR MORE STOREYS
False;PropertyType;LICENSED HOUSE IN MULTIPLE OCCUPATION - UP TO 2 STOREYS
False;PropertyType;LIGHT AIRCRAFT
False;PropertyType;LOCAL GOVERNMENT OFFICE
False;PropertyType;LOOSE REFUSE
False;PropertyType;LORRY/HGV
False;PropertyType;MANUFACTURING ASSEMBLY PLANT
False;PropertyType;MEDICAL/HEALTH CENTRE
False;PropertyType;MILITARY PLANE
False;PropertyType;MILITARY/BARRACKS
False;PropertyType;MILL
True;PropertyType;MINE OR QUARRY (NOT ABOVE GROUND BUILDING)
True;PropertyType;MINE OR QUARRY BUILDING ABOVE GROUND
False;PropertyType;MINIBUS
False;PropertyType;MINISTRY OF DEFENCE OFFICE
False;PropertyType;MONASTERY/CONVENT
False;PropertyType;MOSQUE
False;PropertyType;MOTOR HOME
True;PropertyType;MOTOR YACHT
True;PropertyType;MOTORCYCLE
False;PropertyType;MULTI-STOREY CAR PARK
False;PropertyType;MULTIPLE VEHICLES
False;PropertyType;MUSEUM
False;PropertyType;NAVAL VESSEL
False;PropertyType;NURSERIES/ MARKET GARDEN
False;PropertyType;NURSES'/DOCTORS' ACCOMMODATION
False;PropertyType;NURSING/CARE HOME/HOSPICE
False;PropertyType;OIL REFINERY
False;PropertyType;OTHER AGRICULTURAL BUILDING
True;PropertyType;OTHER AIRCRAFT
False;PropertyType;OTHER ANIMAL BOARDING/BREEDING ESTABLISHMENT
True;PropertyType;OTHER BUILDING/USE NOT KNOWN
False;PropertyType;OTHER BULK STORAGE
False;PropertyType;OTHER CAR PARK STRUCTURE
False;PropertyType;OTHER CULTURAL VENUE
True;PropertyType;OTHER DWELLING
False;PropertyType;OTHER EDUCATION ESTABLISHMENT
False;PropertyType;OTHER ENTERTAINMENT VENUE
False;PropertyType;OTHER HOLIDAY RESIDENCE (COTTAGE/ FLAT/ CHALET)
False;PropertyType;OTHER INDOOR SPORTING VENUE
False;PropertyType;OTHER INDUSTRIAL MANUFACTURING FACILITY
False;PropertyType;OTHER INDUSTRIAL PROCESSING PLANT
False;PropertyType;OTHER MEDICAL ESTABLISHMENT (INCLUDING SURGERY)
True;PropertyType;OTHER MERCHANT VESSEL
False;PropertyType;OTHER OFFICE/CALL CENTRE TYPE BUILDING
False;PropertyType;OTHER OUTDOOR EQUIPMENT/MACHINERY
False;PropertyType;OTHER OUTDOOR LOCATION
False;PropertyType;OTHER OUTDOOR SPORTING VENUE
False;PropertyType;OTHER OUTDOOR STRUCTURES
False;PropertyType;OTHER PRIVATE NON-RESIDENTIAL BUILDING
False;PropertyType;OTHER PUBLIC BUILDING
False;PropertyType;OTHER PUBLIC UTILITY WORKS
False;PropertyType;OTHER RELIGIOUS USE BUILDING
False;PropertyType;OTHER RESIDENTIAL HOME
False;PropertyType;OTHER RETAIL WAREHOUSE
False;PropertyType;OTHER RETAIL
True;PropertyType;OTHER ROAD VEHICLE
True;PropertyType;OTHER TENT/MARQUEE
False;PropertyType;OTHER TRANSPORT BUILDING
True;PropertyType;OTHER VESSEL
False;PropertyType;OUTDOOR STORAGE
False;PropertyType;PARK
False;PropertyType;PASSENGER PLANE
True;PropertyType;PASSENGER TRAIN (NATIONAL RAIL NETWORK)
False;PropertyType;PETROL STATION
False;PropertyType;PIPE OR DRAIN
